goop-02071	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	0	https://www.gossipcop.com/kendall-jenner-wedding-blake-griffin-marriage/	None	None	None	Shari Weiss	None	Kendall Jenner, Blake Griffin “Clash” Over Wedding Plans?	10:55 am, December 7, 2017	None	['Kendall_Jenner', 'Blake_Griffin']
abbc-00135	The claim: Prime Minister Malcolm Turnbull says Australia exports "by and large" cleaner coal than other countries.	in-the-green	http://www.abc.net.au/news/2015-11-27/fact-check-is-australias-export-coal-cleaner/6952190	The claim: Prime Minister Malcolm Turnbull says Australia exports "by and large" cleaner coal than other countries.	['coal', 'mining-industry', 'climate-change', 'environmental-impact', 'mining-environmental-issues', 'pollution', 'air-pollution', 'turnbull-malcolm', 'earth-sciences', 'geology', 'liberals', 'australia']	None	None	['coal', 'mining-industry', 'climate-change', 'environmental-impact', 'mining-environmental-issues', 'pollution', 'air-pollution', 'turnbull-malcolm', 'earth-sciences', 'geology', 'liberals', 'australia']	Fact check: Does Australia export cleaner coal than many other countries?	Thu 3 Mar 2016, 1:19am	None	['Malcolm_Turnbull', 'Australia']
snes-00413	Was Obama Ranked ‘Worst President Since World War II’ in a New Poll?	outdated	https://www.snopes.com/fact-check/was-obama-worst-president-new-poll/	None	Politics	None	Dan Evon	None	Was Obama Ranked ‘Worst President Since World War II’ in a New Poll?	25 June 2018	None	['None']
snes-01256	A man was beaten to death by his girlfriend because she had a dream that he cheated on her with a waitress at a golf course.	false	https://www.snopes.com/fact-check/woman-clubs-boyfriend-dream/	None	Junk News	None	David Mikkelson	None	Did a Woman Club Her Boyfriend to Death Because He Cheated on Her in a Dream?	7 January 2018	None	['None']
pomt-03617	Employees in "workplace freedom" states make more money	mostly false	/ohio/statements/2013/may/07/ron-maag/state-rep-ron-maag-says-employees-earn-more-money-/	Only hours after two Statehouse Republicans unveiled legislation to make Ohio a "right-to-work" state, GOP leadership shot it downas a distraction lacking support. "We have an ambitious agenda focused on job creation and economic recovery," Senate President Keith Faber said in a statement, "and right-to-work legislation is not on that list." But the legislation's co-sponsors, Rep. Kristina Roegner of Hudson and Rep. Ron Maag of Lebanon, depicted their proposals as a matter of "workplace freedom" that would attract jobs. And contrary to a frequent argument of opponents, Maag asserted that workersin so-called right-to-work states make more money. PolitiFact Ohio wondered how that claim is backed up. Maag's staff pointed us to the Mackinac Center for Public Policy, a "free market" think tank based in Midland, Mich., that strongly supports right-to-work laws. Its "Michigan Worker Freedom" website says: "Workers in right-to-work states make more. When adjusting for cost of living, workers in right-to-work states have 4.1 percent higher per-capita personal incomes than workers in non-right-to-work states." The source for that is a posting by James M. Hohman, assistant director of fiscal policy at the Mackinac Center. He writes that he calculated the adjusted per-capita personal income using a state-by-state cost of living index, and converted personal income figures for all 50 states to the value of Michigan dollars. "Right-to-work states have 4.1 percent higher per-capita personal incomes than non-right-to-work states," Hohman says. That conclusion is not widely held, however, even though the evidence is at best mixed on the effect that right-to-work laws have on paychecks and local economies. Noting that it is difficult to isolate the impact of a single policy, two economists for the generally pro-union Economic Policy Institute conducted an analysisof right-to-work laws using a regression model that controlled for more than 40 factors in addition to the cost of living in different states. Their analysis found that wages in right-to-work states are 3.2 percent lower than those elsewhere -- for everyone, not just union members. They concluded that the average full-time, full-year worker in a right-to-work state makes about $1,500 less per year than a similar worker elsewhere. In states with a right-to-work law, the Wall Street Journal reportedlast December, "wages tend to be lower, but job growth stronger, than states that don't have the law. But gauging how much of this divergence in paychecks and employment is a result of the laws is difficult to do." The Journal said that employees in right-to-work states earned 9.8 percent less than workers in states without such laws, according to an analysis of Labor Department data that did not include health-care and other benefits -- "but proving cause and effect on wages is difficult, since many factors influence what workers are paid in a given locale, such as whether the mix of businesses are concentrated in higher-paying industries." The meticulously nonpartisan Congressional Research Service issued a studylast December examining right-to-work laws. Using data from the federal Bureau of Labor Statistics, it found that wages in what it called "union security states" were 16.6 percent higher than in right-to-work states. Among CRS's conclusions: "Wages are lower in right-to-work states than union security states" -- and that "historical research has suggested that right-to-work laws have little influence on these differences." Where does that leave Maag’s statement? Some economists who support right-to-work laws say wages are comparable or higher in right-to-work states when cost-of-living differences are taken into account. And Maag correctly cited that research. But federal data from a nonpartisan government research arm shows that employees in right-to-work states earn less. So does another analysis that tries to hold other things equal. None of it shows a definitive relationship between right-to-work laws and economic outcomes, even though (as the Wall Street Journal noted) the laws were first adopted in the South as part of a larger drive to lure factory jobs from the heavily unionized and better paying North. Maag’s statement, like others we have seen surrounding the highly charged right-to-work issue, suggests a cause-and-effect relationship that is not supported by any evidence. We rate the statement as Mostly False.	None	Ron Maag	None	None	None	2013-05-07T18:47:38	2013-05-01	['None']
goop-02178	Khloe Kardashian Getting Lip Injections During Pregnancy, 	0	https://www.gossipcop.com/khloe-kardashian-lip-injections-pregnant/	None	None	None	Michael Lewittes	None	Khloe Kardashian NOT Getting Lip Injections During Pregnancy, Despite Report	4:40 am, November 19, 2017	None	['None']
tron-02772	Questions About Barack Obama’s status as a “natural born citizen”	none	https://www.truthorfiction.com/lawyersues/	None	obama	None	None	None	Questions About Barack Obama’s status as a “natural born citizen”	Mar 17, 2015	None	['None']
snes-01187	A tourist's unfortunate bout of stomach upset on a Spanish roller coaster splashed liquid fecal matter on other customers.	false	https://www.snopes.com/fact-check/tourist-roller-coaster/	None	Junk News	None	David Mikkelson	None	Did a Tourist Get Diarrhea on a Roller Coaster and Splash 14 People?	18 January 2018	None	['Spain']
pose-00991	Will develop "mobile training units at appropriate community colleges and technology centers that can go on-site to deliver the advanced training employers are requiring of their workers."	promise kept	https://www.politifact.com/tennessee/promises/haslam-o-meter/promise/1058/create-mobile-job-training-units/	None	haslam-o-meter	Bill Haslam	None	None	Create mobile job training units	2012-01-18T15:26:36	None	['None']
pomt-07963	"New England already has access to ample supplies of natural gas."	true	/rhode-island/statements/2011/jan/23/jack-reed/senator-reed-says-new-england-has-ample-supplies-n/	For years, Weaver’s Cove Energy, the company that wants to develop a liquefied natural gas terminal in Fall River, has battled critics in Rhode Island and Massachusetts, who have fought the project on several fronts. Opponents say the terminal -- and massive tankers making regular trips through Narragansett Bay -- would pose a serious safety risk to communities on Mount Hope Bay and cause widespread environmental damage. They also say the region already has enough natural gas and doesn’t need a new terminal. The four U.S. senators from the two states, who all oppose the terminal, cited the supply argument in a letter they sent in November to a key Senate appropriations committee, urging it to prohibit the Federal Regulatory Commission from using federal money to approve the terminal. With temperatures plummeting –– and the Weaver’s Cove project far from resolved –– we thought this was a good time to delve into the issue, focusing on the senators’ claim that New England has ample supplies of natural gas, and therefore doesn’t need the new terminal. We chose Sen. Jack Reed as the speaker for this item because he issued a news release about the letter. The senators cited an analysis by the Massachusetts Department of Energy Resources (DOER) that was summarized in a Nov. 16, 2009 letter the department sent to federal regulators: "DOER asserts that it is unclear to what extent, if any, Weaver Cove’s LNG supply is needed to meet the region’s gas supply needs. . ." In the letter, the Massachusetts energy office staff reported that within the past year, two new or expanded LNG facilities were completed in the Northeast, adding to the "large excess supply already in the natural gas market." They also cited other increased supplies and a drop in demand for natural gas. Those were among many changes in the region’s electricity and natural gas marketplace that occurred since the Weaver’s Cove project was first initiated in 2002, they said. As a result, they said, "it is unclear why there would be demand for additional LNG infrastructure." We then found Damien Gaul, an analyst for the Energy Information Administration, a research arm of the U.S. Department of Energy. Gaul referred us to a recent administration projection showing natural gas demand nationally increasing from 23 trillion cubic feet in 2008 to 26.4 trillion cubic feet in 2035, a growth rate of .6 percent annually. "We don’t believe the U.S. has a need for more LNG deliveries," said Gaul, who emphasized his agency does not issue opinions on specific LNG proposals. "We currently have the capacity to handle five times the demand we have now. Does the U.S. need more LNG? Probably not. Does the Northeast need more? Probably not." The natural gas supply issue also arose at a hearing for electric utility National Grid before the Rhode Island Public Utilities Commission on Oct. 20, 2010. Elizabeth D. Arangio, U.S. director of gas supply planning for National Grid, said several new sources of gas have been created in the Northeast, with more to come soon. She concluded: "So at this point, the market doesn’t technically need more supply in this area in addition to those projects ..." At the same hearing, Bruce Oliver, a consultant hired by the PUC, said the recession has reduced the demand for LNG. "That is, the overall demand in the region has declined due to the economy and other factors, energy-efficiency activity, etc. That activity negates a lot of the factors that were driving the need for a Weaver’s Cove type of supply." So why would Weaver’s Cove spend millions of dollars fighting to develop a project to deliver a product to a market that doesn’t need it? We asked Gordon Shearer, president of Hess LNG LLC, who has spearheaded the Weaver’s Cove project. He responded with a question: If New England has enough gas, he asked, why are prices for natural gas here much higher than in the rest of the country? (Gas prices vary widely across the country; the EIA finds prices in New England are generally several dollars higher per thousand cubic feet than the national average.) The high prices, Shearer said, show the region needs more gas. He also said the Massachusetts Energy Office used faulty arithmetic in its study and failed to note that existing pipelines don’t have enough capacity to handle much of the new LNG supplies. He also dismissed the federal reports, saying commercial forecasters tend to see a need for more imports. But documents Shearer provided told a mixed story. For instance, a report from Spectra Energy described the company’s efforts to pipe more gas to the Northeast, but it said nothing about the need for more gas from other sources. Another report, the 2010 Statistical Guide by the Northeast Gas Association, reports that "an era of abundant supplies appears to have arrived" and that is having a positive impact on natural gas prices. The rapid development of shale gas supplies in New York and Pennsylvania are expected to produce substantially more gas for the U.S. market, the report said. It noted that some proposed LNG projects, including one offshore of New Jersey, have been withdrawn recently because of the changing market conditions. To summarize: The Massachusetts and federal energy offices say there is an ample supply of natural gas. So does National Grid, the largest local utility. Weaver’s Cove contention -- that the region’s relatively high gas prices prove there’s not enough supply -- may make theoretical sense. But it hasn’t convinced the regulators so far. Nor us. We find the claim by Reed and the other senators to be True. Update: The original version of this item incorrectly reported that National Grid, a major supplier of electricity and natural gas, burns natural gas to produce electricity. National Grid buys and sells electricity but does not generate it.	None	Jack Reed	None	None	None	2011-01-23T00:01:00	2010-11-04	['None']
hoer-00579	New Hackers in the Speed Facebook Warning	true messages	http://www.hoax-slayer.net/new-hackers-in-the-speed-facebook-warning/	None	None	None	Brett M. Christensen	None	New Hackers in the Speed Facebook Warning	March 12, 2016	None	['None']
pomt-09135	Ninety percent of the people in Arkansas still love Bill Clinton.	half-true	/truth-o-meter/statements/2010/jun/15/donna-brazile/brazile-says-clinton-loved-90-percent-arkansans/	Sen. Blanche Lincoln's narrow victory in the Arkansas Democratic primary was a big topic on ABC's This Week on Sunday, June 13, 2010. Organized labor poured $10 million into the campaign of her opponent, Lt. Gov. Bill Halter, while Bill Clinton, who served as Arkansas governor before becoming president, came out in strong support for Lincoln. This Week host Jake Tapper began the conversation by showing a clip of White House spokesman Robert Gibbs criticizing the unions for not using that money to help in the general election. Tapper asked Democratic strategist Donna Brazile, "Is the White House risking alienating labor with that kind of talk?" Brazile responded that the White House should be careful about alienating labor because unions provide key grass-roots support. Brazile said that "Blanche Lincoln ran a great campaign. She ran against Washington. Labor, the money did make her the outsider. She was able to reconnect with her base, and she pulled her base out. She still has trouble in the general election, but she ran a very smart, strategic campaign." Brazile added, "And Bill Clinton helped her. He is popular. Ninety percent of the people in the state still love him. And he was able to pull out the stops to get her elected." We were curious about the claim that 90 percent of the people in Arkansas still love Bill Clinton. That number seemed high, so we e-mailed Brazile to ask her source. She replied that she was referring to the "base of the Democratic party" and not ALL people. It was a Democratic run-off and I did not set it up right (in the comment on the show) because we had so many races to cover." Brazile said she was sorry about not providing the context and that she thought it was clear she was talking about Democratic primary voters. But we watched the clip and thought many people might think she meant Clinton was popular with 90 percent of all people in Arkansas. His nationwide numbers are significantly lower. In a CNN/Opinion Research Corporation poll dated from October 2009, 64 percent of those polled said that they had a favorable opinion of Clinton. We would expect him to be more popular in his home state, but we doubt his popularity would be 26 points higher. Brazile acknowledged that would be highly unlikely "in this highly charged partisan environment." But for Democratic primary voters, Brazile is on solid ground. She sent us a poll from Lake Research Partners of likely Democratic primary voters in Arkansas that found 86 percent had a favorable approval rating of Clinton. So Brazile was very close with her number, but she left out an important detail -- that it applied only to Democratic primary voters. Still, it was made in the context of a discussion about the Democratic primary. So we find her claim Half True.	None	Donna Brazile	None	None	None	2010-06-15T10:16:14	2010-06-14	['Arkansas', 'Bill_Clinton']
